city,country,lat,lon,source,oid,state,comments
Tilburg,Netherlands,51.5667,5.08333,manually from http://www.astro.com/atlas/,955,NULL,NULL
Craiova,Romania,44.3167,23.8,manually from http://www.astro.com/atlas/,956,NULL,NULL
Dundee,Scotland,56.4667,-3,manually from http://www.astro.com/atlas/,957,NULL,NULL
Cairns,Australia,-16.9167,145.767,manually from http://www.astro.com/atlas/,958,NULL,NULL
Mornington,Australia,-38.2167,145.05,manually from http://www.astro.com/atlas/,959,NULL,NULL
Sunshine,Australia,-37.7833,144.833,manually from http://www.astro.com/atlas/,960,NULL,NULL
Wangaratta,Australia,-36.3667,146.333,manually from http://www.astro.com/atlas/,961,NULL,NULL
Chatham,Canada,42.4,-82.1833,manually from http://www.astro.com/atlas/,962,NULL,NULL
East York,Canada,43.6833,-79.3333,manually from http://www.astro.com/atlas/,963,NULL,NULL
Joliette,Canada,46.0167,-73.45,manually from http://www.astro.com/atlas/,964,NULL,NULL
Newmarket,Canada,44.05,-79.4667,manually from http://www.astro.com/atlas/,965,ON,NULL
Wildfield,Canada,43.8167,-79.7333,manually from http://www.astro.com/atlas/,966,NULL,NULL
Yorkton,Canada,51.2167,-102.467,manually from http://www.astro.com/atlas/,967,NULL,NULL
Hangzhou,China,30.25,120.167,manually from http://www.astro.com/atlas/,968,NULL,NULL
Hefei,China,31.85,117.283,manually from http://www.astro.com/atlas/,969,NULL,NULL
Jinan,China,36.6667,116.95,manually from http://www.astro.com/atlas/,970,NULL,NULL
Lanzhou,China,36.05,103.683,manually from http://www.astro.com/atlas/,971,NULL,NULL
Wuhan,China,30.6,114.283,manually from http://www.astro.com/atlas/,972,NULL,NULL
Chatham,United Kingdom,51.3833,0.533333,manually from http://www.astro.com/atlas/,973,NULL,NULL
Redditch,United Kingdom,52.3167,-1.93333,manually from http://www.astro.com/atlas/,974,NULL,NULL
Salo,Finland,60.3833,23.1333,manually from http://www.astro.com/atlas/,975,NULL,NULL
Tampere,Finland,61.5,23.75,manually from http://www.astro.com/atlas/,976,NULL,NULL
